# Accelerometer Data File
# Started @Sun Jan 24 20:56:24 GMT+02:00 2021
#
#
# sensor Vendor: BOSCH
# sensor Name: BMI160 Accelerometer Non-wakeup
# sensor Resolution: 0.0023928226m/sec^2; Max Range: 78.4532; Min Delay: 2500 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:NORMAL
# units set to: m/sec^2
# gravity  filtered out
# Accuracy: HIGH
-0.574 -0.371 -5.424 20
-1.139 -2.257 1.68 20
-1.655 -10.387 10.69 21
-6.696 -26.066 13.935 20
-3.493 -19.65 7.699 20
15.09 -12.629 0.095 20
20.295 -8.281 -3.803 20
10.206 -0.054 0.494 21
6.396 -1.577 -8.808 20
1.173 -2.348 -8.276 20
-2.999 -0.126 -4.422 20
-6.407 3.226 -2.585 20
-7.862 7.788 -3.732 20
-5.623 10.606 -6.588 21
-2.654 12.164 -4.765 20
2.743 10.937 -1.63 20
5.589 8.455 -2.228 20
2.277 5.443 -0.117 20
-0.406 1.518 5.624 20
3.558 -4.012 4.887 21
5.181 -9.158 4.597 20
3.525 -24.362 -5.947 20
-4.138 -31.25 -1.711 20
-4.927 -10.843 0.052 20
5.021 1.069 4.758 20
4.971 4.38 4.099 21
0.007 8.65 1.565 20
-2.754 10.148 2.575 20
-5.325 10.183 2.143 20
-7.388 11.344 1.258 20
-7.345 12.107 1.486 20
-6.51 11.996 1.391 21
-5.563 11.71 0.502 20
-3.351 10.313 -3.696 20
1.187 6.466 -7.869 20
7.234 -0.328 -11.262 20
1.615 -6.822 0.938 21
-7.663 -0.111 3.675 20
-9.258 -6.87 12.13 20
-6.861 -23.128 15.612 20
3.338 -17.756 13.501 20
13.178 -13.609 5.757 20
16.967 -9.495 -14.618 21
15.969 -2.89 -9.741 20
8.415 0.224 -3.709 20
-0.721 0.857 -4.347 20
-6.472 4.37 -2.682 20
-8.416 8.863 -0.441 20
-7.512 10.65 -5.623 21
-6.114 10.71 -6.587 20
-2.775 10.398 -3.528 20
2.246 7.81 -2.505 20
4.777 4.052 -3.522 20
1.354 1.808 3.062 20
1.566 -2.139 6.119 21
5.191 -7.461 7.68 20
5.495 -17.949 -3.767 20
-0.282 -31.326 -5.807 20
-5.497 -20.524 3.573 20
1.397 -2.121 9.746 21
6.259 3.49 3.304 20
2.181 6.817 1.762 20
-3.182 9.574 3.095 20
-4.739 9.365 1.52 20
-4.921 10.996 0.568 20
-7.037 13.372 0.097 21
-7.931 13.386 0.279 20
-6.383 12.007 0.43 20
-3.818 11.433 -1.923 20
-0.204 9.253 -4.139 20
2.946 5.454 -4.057 20
4.255 1.211 -13.797 21
-0.705 -4.209 2.872 20
-5.848 -2.483 9.009 20
-7.755 -16.74 12.204 20
-3.989 -27.103 15.977 20
6.242 -13.94 8.09 20
14.862 -8.653 -1.995 21
17.213 -6.571 -10.971 20
14.0 -2.695 -4.216 20
6.917 -2.318 -6.322 20
-0.431 -0.646 -8.046 20
-7.546 3.982 -2.341 20
-10.756 7.402 0.589 21
-6.809 8.08 -5.456 20
-3.549 9.82 -6.906 20
-0.691 11.302 -3.682 20
3.139 9.974 -0.511 20
5.253 8.194 -1.314 21
1.666 5.861 2.065 20
-0.393 1.623 3.346 20
4.145 -4.103 5.144 20
6.298 -10.204 3.306 20
6.859 -29.936 -5.656 20
-3.647 -33.04 2.834 21
0.611 -11.169 3.423 20
6.08 2.779 5.552 20
-2.39 9.963 1.463 20
-4.285 11.897 1.271 20
-4.448 10.28 0.5 21
-8.218 10.369 -0.75 20
-8.476 11.501 -0.473 20
-7.801 11.769 -1.012 20
-6.311 11.168 -0.971 20
-4.115 10.385 -1.091 20
-0.153 7.62 -3.108 21
3.566 4.385 -3.683 20
3.77 0.6 -4.253 20
-0.062 -2.326 2.144 20
-4.612 -2.564 2.69 20
-9.215 -14.551 10.353 20
-7.541 -25.473 13.155 21
6.323 -14.573 12.79 20
14.778 -9.766 2.273 20
16.24 -6.377 -11.603 20
15.235 -2.593 -5.529 20
7.643 -1.735 -7.565 20
-1.628 0.247 -7.621 21
-9.343 4.558 -1.689 20
-11.412 7.952 -0.55 20
-7.862 9.024 -8.944 20
-3.773 9.751 -7.295 20
0.357 9.729 -1.853 20
3.259 8.133 -0.503 21
5.094 5.627 -0.658 20
2.657 3.405 3.659 20
3.016 -0.518 6.141 20
6.41 -6.35 7.064 20
7.144 -17.488 -5.596 21
0.148 -32.642 -3.696 20
-9.109 -23.212 4.574 20
-2.295 -2.962 5.242 20
3.806 4.866 4.457 20
1.585 9.196 1.931 20
-3.601 11.933 2.695 21
-4.357 11.677 0.927 20
-6.215 12.42 -0.488 20
-7.094 13.446 1.071 20
-6.199 12.944 1.263 20
-4.133 11.628 0.1 20
-1.499 10.368 -3.742 21
3.231 6.274 -3.448 20
6.543 1.425 -4.004 20
4.162 -4.567 -9.593 20
-3.853 -5.15 -0.253 20
-9.864 -5.889 8.082 20
-11.396 -20.836 13.418 21
-1.738 -18.015 15.041 20
7.158 -8.129 11.437 20
11.778 -9.06 -2.29 20
16.774 -8.12 -14.999 20
17.33 -2.209 -6.772 21
6.657 2.118 -2.68 20
-1.455 2.396 -6.224 20
-7.878 5.36 -2.135 20
-9.078 7.359 -2.199 20
-7.418 8.723 -7.485 20
