# Accelerometer Data File
# Started @Sun Jan 24 21:08:29 GMT+02:00 2021
#
#
# sensor Vendor: BOSCH
# sensor Name: BMI160 Accelerometer Non-wakeup
# sensor Resolution: 0.0023928226m/sec^2; Max Range: 78.4532; Min Delay: 2500 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:NORMAL
# units set to: m/sec^2
# gravity  filtered out
# Accuracy: HIGH
0.152 0.784 -0.374 20
0.326 0.76 0.148 20
0.384 1.085 0.087 20
-0.031 1.455 -0.619 21
-0.409 1.592 -1.15 20
-0.019 1.4 -1.574 20
0.161 1.476 -0.08 20
0.011 1.736 1.152 20
-0.319 1.504 0.899 21
-0.796 1.155 0.382 20
-1.124 1.652 0.753 20
-0.323 2.008 0.57 20
1.055 1.24 -2.575 20
-0.332 2.145 0.829 20
-1.916 3.776 2.473 21
-0.89 3.713 0.182 20
0.304 2.567 -0.4 20
-0.717 2.714 1.346 20
-0.749 2.298 -0.42 20
-1.081 2.019 -0.604 20
-1.725 1.901 0.197 21
-2.001 2.482 0.169 20
-0.682 2.208 0.689 20
-0.487 1.832 0.518 20
-0.572 1.584 0.52 20
-0.135 0.982 0.902 21
0.0 0.448 0.152 20
0.162 -0.182 0.121 20
0.269 -0.731 -0.722 20
0.242 -0.897 -0.05 20
0.407 -1.081 0.085 21
0.468 -1.236 -0.787 20
0.971 -1.341 -0.505 20
1.641 -1.614 -0.556 20
2.398 -1.964 -0.867 20
2.781 -2.11 -0.642 20
2.298 -2.153 -0.436 21
1.087 -2.085 -0.44 20
0.26 -2.273 -0.249 20
-0.394 -2.757 -1.125 20
-0.519 -3.436 -0.308 20
-0.335 -3.47 1.098 20
-0.591 -2.763 0.826 21
-0.762 -2.148 -0.299 20
-0.55 -1.961 -0.676 20
-0.348 -2.088 0.306 20
-0.085 -2.326 0.89 20
0.421 -2.884 -0.34 20
0.682 -3.626 -1.803 21
-0.04 -3.322 -0.807 20
-0.625 -1.547 1.53 20
-0.418 -0.047 1.804 20
-0.195 0.414 0.782 20
-0.244 0.611 0.178 21
-0.397 0.738 -0.054 20
-0.316 0.681 0.135 20
-0.079 0.29 0.1 20
0.385 -0.221 -0.426 20
0.766 -0.438 -0.862 20
0.552 -0.336 -0.709 21
0.533 -0.186 -0.144 20
0.984 -0.243 -0.311 20
1.067 -0.182 -0.47 20
0.738 0.225 -0.351 20
0.658 0.785 -0.687 20
0.629 1.323 -0.681 21
0.294 1.667 -0.022 20
-0.215 1.477 0.07 20
-0.286 0.719 -1.031 20
-0.064 -0.107 -1.452 20
-0.434 0.748 1.064 21
-1.471 3.187 3.59 20
-1.399 4.339 3.343 20
-1.596 3.866 0.415 20
-1.115 1.852 -3.545 20
-0.26 -0.251 -2.755 20
0.212 1.814 4.16 21
-0.654 3.644 2.832 20
-2.326 4.511 -3.472 20
1.036 2.391 0.371 20
-0.175 3.126 -2.086 20
-0.034 2.76 -0.737 20
-1.508 2.861 0.584 21
-0.861 2.094 1.94 20
-0.568 0.746 3.173 20
-2.514 1.543 1.131 20
-2.237 1.673 2.756 20
-1.735 1.844 2.23 21
-1.775 1.686 -0.627 20
-0.743 0.836 -1.47 20
2.281 -0.924 -0.331 20
3.662 -2.412 1.823 20
2.079 -1.067 -2.463 20
2.98 -1.221 -3.151 21
3.111 -2.315 -1.755 20
3.636 -2.879 -3.082 20
3.162 -3.197 0.666 20
1.417 -3.054 0.243 20
0.572 -3.712 -0.405 21
0.521 -4.098 2.323 20
-0.299 -2.89 1.832 20
-1.375 -1.191 -0.856 20
-1.613 -0.117 -0.742 20
-1.473 0.338 1.082 20
-0.981 -0.165 0.577 21
0.097 -2.181 -1.834 20
1.605 -4.915 -1.795 20
1.908 -5.758 0.973 20
0.829 -3.974 1.38 20
-0.937 -1.395 0.229 20
-1.197 -0.37 -0.658 21
-0.214 -0.628 -1.75 20
1.55 -2.053 -1.439 20
1.93 -2.108 -0.42 20
0.933 -0.306 0.891 20
0.507 1.237 1.574 21
0.312 1.827 1.173 20
-0.35 1.717 0.695 20
-0.882 1.138 1.173 20
-0.671 0.33 1.326 20
0.178 -0.582 0.214 20
1.074 -1.511 -1.566 21
1.288 -2.03 -2.659 20
0.995 -1.48 -1.813 20
0.456 0.211 0.312 20
-0.606 1.998 1.473 20
-1.296 2.883 1.198 21
-0.836 2.545 0.039 20
-0.38 1.527 -1.266 20
0.129 0.514 -1.596 20
0.274 -0.17 -0.387 20
-1.469 1.002 1.001 20
-1.885 2.042 0.762 21
-0.991 2.217 0.257 20
-0.556 3.852 -0.587 20
0.803 3.003 -0.864 20
0.272 3.194 1.056 20
-1.552 4.11 3.304 21
-2.05 3.235 2.124 20
-1.504 2.129 0.965 20
-2.527 2.671 1.031 20
-2.942 3.801 0.623 20
-1.68 3.77 -0.324 20
-1.061 2.084 -0.395 21
-0.149 1.093 1.418 20
-0.009 1.018 -1.989 20
1.408 -0.051 -1.223 20
2.33 -0.255 -0.023 20
1.646 -0.721 -0.57 21
0.453 -1.075 -0.214 20
0.358 -1.121 0.85 20
0.378 -1.037 -0.019 20
0.401 -0.735 -0.896 20
0.753 -0.618 0.167 20
1.238 -0.694 0.325 21
1.677 -1.136 -0.144 20
1.563 -2.014 0.005 20
1.4 -3.322 -1.139 20
1.625 -4.824 -0.734 20
1.613 -5.122 0.153 21
1.003 -4.534 0.245 20
0.364 -3.372 0.01 20
-0.258 -1.831 -0.43 20
-0.366 -1.161 -1.219 20
0.245 -1.965 -1.733 20
0.911 -3.151 -0.784 21
0.22 -3.131 -0.141 20
-0.902 -1.958 0.017 20
-1.362 -0.904 0.535 20
-1.157 -0.589 1.003 20
-0.526 -0.414 0.952 20
0.429 -0.26 0.646 21
1.046 -0.277 0.471 20
0.734 -0.288 0.458 20
0.266 -0.462 0.199 20
-0.184 -0.371 0.188 20
-0.176 -0.264 -0.005 21
0.267 -0.395 -0.826 20
0.721 -0.703 -0.967 20
0.248 -0.846 -0.418 20
-0.175 -0.477 0.225 20
0.107 -0.011 -0.683 20
0.299 0.362 -1.201 21
-0.006 0.822 -0.16 20
-0.443 1.634 1.349 20
-0.782 3.045 0.509 20
-0.564 3.894 -0.746 20
0.339 2.847 -0.214 20
1.023 1.527 0.039 21
0.873 1.624 -0.113 20
0.165 2.518 -0.604 20
0.015 2.577 -0.16 20
-0.337 2.64 1.384 20
-1.746 4.071 1.797 21
-2.597 3.164 0.889 20
-2.758 2.843 1.037 20
-2.851 2.44 0.927 20
-2.564 2.286 1.211 20
-2.135 2.388 0.941 20
-1.505 2.371 0.479 21
-1.083 2.429 0.59 20
-1.035 2.201 -0.281 20
-0.291 1.649 -0.587 20
0.606 1.014 -0.127 20
1.235 0.311 -0.319 21
1.401 -0.217 -0.921 20
1.651 -0.711 -0.27 20
1.555 -0.915 -0.159 20
1.403 -1.065 -0.15 20
1.256 -1.306 0.067 20
1.458 -1.352 -0.057 21
1.582 -1.34 0.008 20
1.54 -1.331 -0.376 20
1.425 -1.887 -0.795 20
1.306 -3.059 -0.537 20
1.29 -4.012 -0.278 21
1.171 -4.309 -0.783 20
0.686 -4.016 -0.927 20
0.138 -3.485 -0.206 20
-0.03 -2.833 0.438 20
-0.201 -2.278 0.623 20
-0.351 -1.819 0.658 21
-0.517 -1.568 0.424 20
-0.691 -1.541 0.159 20
-0.749 -1.992 -0.136 20
-0.151 -2.567 -0.525 20
0.898 -2.354 -1.566 21
1.725 -1.217 -2.127 20
1.895 -0.213 -1.11 20
1.098 0.156 0.94 20
0.332 0.197 2.043 20
0.053 0.013 1.192 20
0.149 -0.227 0.238 21
0.076 -0.396 0.091 20
-0.023 -0.259 0.186 20
-0.187 -0.106 -0.3 20
-0.524 0.083 -0.608 20
-0.377 0.182 -0.867 20
0.497 0.401 -0.791 21
0.971 0.865 0.253 20
0.117 1.673 0.614 20
-0.62 2.821 -0.484 20
-0.655 3.166 -0.871 20
-0.197 2.319 0.151 21
0.641 1.257 0.662 20
0.303 1.114 0.939 20
-1.001 1.947 0.679 20
-1.293 2.412 -1.07 20
-1.172 2.757 -0.344 20
-2.055 3.801 2.337 21
-2.749 3.589 1.81 20
-2.025 2.801 0.932 20
-1.59 2.428 0.781 20
-2.444 2.539 -0.146 20
-1.781 2.436 0.577 21
-1.853 2.475 0.248 20
-1.8 2.328 -0.183 20
-0.766 1.904 0.52 20
-0.247 1.276 0.222 20
0.16 1.001 0.038 21
0.882 0.808 0.493 20
1.414 0.363 -0.178 20
1.782 -0.192 -0.913 20
1.823 -0.72 0.046 20
1.512 -1.096 0.279 20
1.199 -1.338 -0.14 21
0.803 -1.329 -0.607 20
0.897 -1.606 -0.818 20
1.51 -2.303 -0.924 20
2.178 -3.283 0.196 20
2.068 -4.026 0.11 20
1.607 -4.578 -0.476 21
1.183 -4.698 -0.48 20
0.476 -3.866 -0.374 20
-0.224 -2.639 -0.274 20
-0.415 -1.812 -0.033 20
-0.194 -1.739 0.291 21
-0.067 -1.922 0.003 20
-0.31 -1.903 -0.436 20
-0.6 -1.863 -0.496 20
-0.407 -1.99 -0.544 20
0.571 -2.314 -0.653 20
0.982 -2.24 -1.275 21
0.584 -1.557 -0.906 20
-0.317 -0.804 0.854 20
-0.729 -0.2 1.176 20
-0.344 0.356 0.595 20
0.164 0.581 0.488 21
0.771 0.456 0.474 20
1.243 0.145 0.454 20
1.182 -0.269 0.251 20
0.99 -0.561 -0.262 20
0.6 -0.516 -0.781 20
0.29 -0.132 -0.339 21
0.037 0.641 -0.186 20
-0.009 1.323 -0.726 20
0.331 1.602 -1.32 20
0.197 1.83 -0.241 20
-0.257 2.059 1.453 20
-0.891 2.541 0.9 21
-0.852 2.453 0.569 20
-0.553 2.171 1.234 20
-0.752 2.654 -0.794 20
-1.011 3.762 -1.155 20
-1.41 4.086 2.302 21
-2.498 3.594 2.787 20
-2.709 3.53 -0.988 20
-1.643 2.845 1.046 20
-2.192 2.778 0.075 20
-1.561 2.282 0.395 20
